time,T_core0,IPC_core0,F_core0,P_core0,Energy_Per_Instruction_core0,Cdyn_core0
204084465418000,45.71735774966743,0.0,1.0,0.015001606507174019,1.5001606507245637e-07,0.0
204086475418000,45.71479334814307,0.0,1.0,0.015001144510378492,1.5001144510261326e-07,0.0
204088475418000,45.71223022138342,0.0,1.0,0.015000682824853244,1.500068282492488e-07,0.0
204090485418000,45.709668370875974,0.0,1.0,0.015000221450865674,1.5000221450748518e-07,0.0
204092485418000,45.70710779386844,0.0,1.0,0.014999760387648298,1.4999760387719916e-07,0.0
204094489147000,45.704574802397055,0.001927636507866555,1.0,0.015930520935060845,1.48573568234105e-07,1.2025007712308843e-12
204096489147000,45.70204069950357,0.0,1.0,0.014998848235447846,1.4998848235519462e-07,0.0
204098489147000,45.69949029234774,0.0,1.0,0.014998389244944484,1.4998389245016104e-07,0.0
204100499147000,45.696934780161044,0.0,1.0,0.014997929416742979,1.4997929416625852e-07,0.0
204102499147000,45.69438053833155,0.0,1.0,0.014997469898071191,1.4997469898142791e-07,0.0
204104509147000,45.691827568341516,0.0,1.0,0.014997010689195208,1.4997010689078095e-07,0.0
204106509147000,45.68932718755759,0.0,4.0,0.08312491069669964,2.2667143234141623e-07,0.0
204108509147000,45.688469007046834,0.0,4.0,0.09571364266144734,2.3928410665136074e-07,0.0
204110511647000,45.68753869496649,0.0,4.0,0.09571341455485632,2.39283536387528e-07,0.0
204112514147000,45.686608262955424,0.0,4.0,0.09571318643350248,2.392829660841436e-07,0.0
204114514147000,45.6856788723741,0.0,4.0,0.0957129585821029,2.3928239645640016e-07,0.0
204116514147000,45.68475052222754,0.0,4.0,0.09571273100036669,2.392818275020591e-07,0.0
204118516647000,45.68382205185056,0.0,4.0,0.09571250340373844,2.392812585063365e-07,0.0
204120519146999,45.68289346178159,0.0,4.0,0.0957122757923516,2.392806894812662e-07,0.0
204122524147000,45.68199380506186,0.0,1.0,0.07477222867888253,2.158568511924868e-07,0.0
204124534147000,45.679283441769165,0.0,1.0,0.01499475552154206,1.4994755521424948e-07,0.0
204126534147000,45.67673798184767,0.0,1.0,0.014994298140038281,1.4994298140109887e-07,0.0
204128544147000,45.674193789404065,0.0,1.0,0.014993841066614408,1.4993841066497304e-07,0.0
204130544147000,45.67165086170487,0.0,1.0,0.014993384300512076,1.4993384300583673e-07,0.0
204132544147000,45.66911553643645,0.0,1.0,0.014992928979787094,1.4992928979858683e-07,0.0
204134554147000,45.66657513634513,0.0,1.0,0.014992472827589717,1.4992472827472622e-07,0.0
204136554147000,45.66403599911788,0.0,1.0,0.01499201698197619,1.4992016982047766e-07,0.0
204138554147000,45.66150445299402,0.0,1.0,0.014991562578709377,1.499156257878095e-07,0.0
204140564147000,45.65896783961648,0.0,1.0,0.014991107345527532,1.4991107345410447e-07,0.0
204142564147000,45.65643248722541,0.0,1.0,0.014990652418193988,1.4990652418265565e-07,0.0
204144574147000,45.653898397292046,0.0,1.0,0.01499019779697233,1.4990197796855275e-07,0.0
204146578877000,45.65174691467148,0.08370576671505359,1.0,0.055645771077230406,1.4579464422523315e-07,5.24999480035963e-11
204148578877000,45.649396670065954,0.0,1.0,0.014989390373280335,1.4989390373351907e-07,0.0
204150588877000,45.64686608065806,0.0,1.0,0.014988936600353463,1.4988936600236397e-07,0.0
204152592210476,45.644212429654594,0.0,1.55,0.019214067225487696,1.5378357731028516e-07,0.0
204154596972381,45.642046748030864,0.0,2.1,0.03447758221665901,1.6417896295588713e-07,0.0
204156596972381,45.63991326971322,0.0,2.1,0.034477160734551364,1.6417695587959985e-07,0.0
204158601734285,45.63778085112163,0.0,2.1,0.034476739523819536,1.6417495013284132e-07,0.0
204160601734285,45.635649490892,0.0,2.1,0.034476318584043514,1.6417294563908576e-07,0.0
204162601734285,45.63352172155892,0.0,2.1,0.03447589841521945,1.6417094483282884e-07,0.0
204164606496190,45.631392476481054,0.0,2.1,0.03447547801674085,1.6416894287481538e-07,0.0
204166611258095,45.629261758487296,0.0,2.1,0.034475057389260946,1.6416693996827617e-07,0.0
204168614115000,45.62727340274672,0.0,1.0,0.0257667124659592,1.5749226565035428e-07,0.0
204170614115000,45.62457055285424,0.0,1.0,0.014984942097313055,1.4984942097384595e-07,0.0
204172624115000,45.62205231526579,0.0,1.0,0.014984491311921502,1.4984491311804474e-07,0.0
204174624115000,45.61953532955191,0.0,1.0,0.014984040828823587,1.4984040828895144e-07,0.0
204176624115000,45.61702586874413,0.0,1.0,0.014983591770424092,1.4983591770495633e-07,0.0
204178634115000,45.61451138491739,0.0,1.0,0.014983141891189771,1.4983141891072768e-07,0.0
204180634115000,45.61199815110377,0.0,1.0,0.014982692313525926,1.498269231359748e-07,0.0
204182644115000,45.609486168761805,0.0,1.0,0.014982243037693152,1.498224303757613e-07,0.0
204184644115000,45.606975435192496,0.0,1.0,0.014981794062949482,1.4981794063021027e-07,0.0
204186644115000,45.60447220784532,0.0,1.0,0.014981346507942448,1.4981346508013992e-07,0.0
204188654115000,45.601963969964146,0.0,1.0,0.01498089813465695,1.4980898134539957e-07,0.0
204190654115000,45.59945697899921,0.0,1.0,0.01498045006174097,1.498045006181249e-07,0.0
204192664115000,45.596951236404635,0.0,1.0,0.01498000228945414,1.4980002289337145e-07,0.0
204194664115000,45.59444673948863,0.0,1.0,0.014979554817057756,1.4979554817129288e-07,0.0
204196664115000,45.59194973015714,0.0,1.0,0.014979108759456955,1.4979108759528472e-07,0.0
204198674115000,45.58944772274547,0.0,1.0,0.014978661886124813,1.497866188600783e-07,0.0
204200674115000,45.58694695916015,0.0,1.0,0.014978215311966908,1.4978215312038444e-07,0.0
204202674115000,45.58445367200239,0.0,1.0,0.014977770149650863,1.497777014972237e-07,0.0
204204684115000,45.581955394219435,0.0,1.0,0.014977324173126798,1.497732417300983e-07,0.0
204206684115000,45.57945835841333,0.0,1.0,0.014976878495062844,1.4976878495134358e-07,0.0
204208694115000,45.576962566033096,0.0,1.0,0.014976433115717417,1.4976433115600454e-07,0.0
204210694115000,45.57446801439728,0.0,1.0,0.014975988034356751,1.4975988034428237e-07,0.0
204212694115000,45.571980920625094,0.0,1.0,0.014975544359929841,1.497554436000135e-07,0.0
204214704115000,45.56948884863226,0.0,1.0,0.014975099873827485,1.4975099873710516e-07,0.0
204216704115000,45.56699801553882,0.0,1.0,0.014974655684999156,1.4974655685070658e-07,0.0
204218704115000,45.56451462919642,0.0,1.0,0.014974212900170578,1.4974212900242064e-07,0.0
204220714115000,45.56202627205897,0.0,1.0,0.014973769305181189,1.497376930506425e-07,0.0
204222714115000,45.55953915197859,0.0,1.0,0.014973326006757173,1.497332600682867e-07,0.0
204224724115000,45.557053270398654,0.0,1.0,0.014972883005155594,1.4972883005038665e-07,0.0
204226724115000,45.55456862464822,0.0,1.0,0.014972440299647682,1.4972440299719161e-07,0.0
204228724115000,45.55209140715851,0.0,1.0,0.01497199899326417,1.4971998993335654e-07,0.0
204230724510000,45.55896460500818,1.3210465959074156,2.5,1.5726715589055211,7.272359757894528e-08,8.304219364842382e-10
